TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2003,07,31,15,00,34XX W 8TH AVE,Kitsilano,486824.59,5456953.99
Other Theft,2003,05,06,19,07,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Theft of Vehicle,2003,08,05,19,00,25XX E 3RD AVE,Hastings-Sunrise,496046.96,5457197.81
Theft from Vehicle,2003,08,25,23,30,9XX CAMBIE ST,Central Business District,491493.38,5458236.01
Other Theft,2003,05,09,14,00,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,05,14,14,57,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,05,14,19,42,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,05,17,11,38,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,05,24,15,04,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,05,29,11,00,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,02,19,00,19XX BLOCK W 2ND AVE,Kitsilano,489151.0,5457440.0
Mischief,2003,06,29,01,37,5XX ROBSON ST,Central Business District,491401.94,5458620.67
Theft of Bicycle,2003,11,30,14,00,1XX E 28TH AVE,Riley Park,492441.87,5454806.58
Theft of Bicycle,2003,09,30,06,00,1XX E 28TH AVE,Riley Park,492441.87,5454806.58
Other Theft,2003,06,02,16,50,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,06,02,17,15,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,06,04,14,43,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Break and Enter Commercial,2003,09,26,02,30,10XX ALBERNI ST,West End,491067.65,5459114.22
Theft from Vehicle,2003,10,14,01,30,9XX CAMBIE ST,Central Business District,491493.38,5458236.01
Other Theft,2003,06,08,09,52,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,06,16,15,17,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,06,19,19,00,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,06,19,19,30,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,06,21,21,00,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,06,23,19,14,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Break and Enter Residential/Other,2003,04,14,07,00,17XX W 63RD AVE,Marpole,489376.55,5451261.73
Vehicle Collision or Pedestrian Struck (with Injury),2003,07,31,18,00,19XX BLOCK STEPHENS ST,Kitsilano,487924.0,5457349.0
Other Theft,2003,06,24,11,48,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,07,05,15,31,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,07,12,12,00,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Theft from Vehicle,2003,10,17,20,00,9XX CAMBIE ST,Central Business District,491493.38,5458236.01
Other Theft,2003,07,13,21,30,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Theft from Vehicle,2003,04,15,21,15,SELKIRK ST / W 73RD AVE,Marpole,490277.67,5450172.91
Other Theft,2003,07,16,10,00,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,07,16,20,28,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Theft from Vehicle,2003,10,17,23,00,9XX CAMBIE ST,Central Business District,491493.38,5458236.01
Other Theft,2003,07,25,19,41,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Theft from Vehicle,2003,07,14,08,30,X NK_LOC ST,,492757.49,5458792.47
Other Theft,2003,07,29,15,30,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,02,19,35,19XX BLOCK E 12TH AVE,Kensington-Cedar Cottage,495271.0,5456285.0
Vehicle Collision or Pedestrian Struck (with Injury),2003,03,14,14,05,19XX BLOCK E 12TH AVE,Kensington-Cedar Cottage,495271.0,5456285.0
Theft of Bicycle,2003,08,09,16,00,1XX E 16TH AVE,Riley Park,492561.59,5455981.07
Theft from Vehicle,2003,12,20,00,01,9XX CAMBIE ST,Central Business District,491493.38,5458236.01
Break and Enter Residential/Other,2003,06,10,14,00,66XX LAUREL ST,Oakridge,490879.62,5452510.97
Theft from Vehicle,2003,12,26,23,00,9XX CAMBIE ST,Central Business District,491493.38,5458236.01
Theft from Vehicle,2003,03,05,22,56,9XX CAMBIE ST,Central Business District,491520.32,5458264.86
Theft of Vehicle,2003,08,12,17,00,25XX E 2ND AVE,Hastings-Sunrise,496029.78,5457299.47
Theft of Vehicle,2003,02,15,04,00,25XX E 2ND AVE,Hastings-Sunrise,496029.78,5457299.47
Other Theft,2003,08,04,19,20,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
